player_name,player_id,batting_style,bowling_style,position,country
LPC Silva,358,right-hand-bat,legbreak,Batsman,Sri Lanka
LR Shukla,359,right-hand-bat,right-arm-fast-medium,Allrounder,India
LRPL Taylor,360,right-hand-bat,right-arm-offbreak,Middle Order Batter,New Zealand
LS Livingstone,361,right-hand-bat,legbreak,Allrounder,England
Lalit Yadav,362,right-hand-bat,right-arm-offbreak,Allrounder,India
Liton Das,363,right-hand-bat,,Wicketkeeper,Bangladesh
M Ashwin,364,,,Allrounder,India
M Jansen,365,right-hand-bat,left-arm-fast,Allrounder,South Africa
M Kaif,366,right-hand-bat,right-arm-offbreak,Batsman,India
M Kartik,367,left-hand-bat,slow-left-arm-orthodox,Bowler,India
M Klinger,368,right-hand-bat,,Batsman,Australia
M Manhas,369,right-hand-bat,right-arm-offbreak,Allrounder,India
M Markande,370,right-hand-bat,legbreak,Bowler,India
M Morkel,371,left-hand-bat,right-arm-fast,Bowler,South Africa
M Muralitharan,372,right-hand-bat,right-arm-offbreak,Bowler,Sri Lanka
M Ntini,373,right-hand-bat,right-arm-fast,Bowler,South Africa
M Pathirana,374,right-hand-bat,right-arm-fast-medium,Wicketkeeper,Sri Lanka
M Prasidh Krishna,375,,,Bowler,Sweden
M Rawat,376,right-hand-bat,,Wicketkeeper,India
M Shahrukh Khan,377,right-hand-bat,right-arm-offbreak,Batsman,India
M Siddharth,378,,,Batsman,India
M Theekshana,379,right-hand-bat,right-arm-offbreak,Bowler,Sri Lanka
M Tiwari,380,right-hand-bat,right-arm-offbreak,Batsman,India
M Vijay,381,right-hand-bat,right-arm-offbreak,Batsman,India
M Vohra,382,right-hand-bat,right-arm-fast-medium,Batsman,India
M de Lange,383,right-hand-bat,right-arm-fast,Bowler,South Africa
MA Agarwal,384,right-hand-bat,,Batsman,India
MA Khote,385,,,,
MA Starc,386,left-hand-bat,left-arm-fast,Bowler,Australia
MA Wood,387,right-hand-bat,right-arm-fast,Bowler,England
MB Parmar,388,,,,
MC Henriques,389,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
MC Juneja,390,,,,
MD Mishra,391,,,Allrounder,Hungary
MD Shanaka,392,right-hand-bat,right-arm-fast-medium,Allrounder,Sri Lanka
MDKJ Perera,393,left-hand-bat,,Batsman,Sri Lanka
MEK Hussey,394,left-hand-bat,right-arm-fast-medium,Batsman,Australia
